key,zh,ja
"
目标已有存档，将被覆盖。","
目标已有存档，将被覆盖。","
上書きされます。"
%s %s → 请选择目标手动槽位,%s %s → 请选择目标手动槽位,%s %s → 移動先のマニュアルスロットを選択してください
%s到手动存档 %03d？%s,%s到手动存档 %03d？%s,%s先 マニュアルセーブ %03d？%s
%s已有内容，确定覆盖吗？,%s已有内容，确定覆盖吗？,%sには既にデータがあります。上書きしますか？
%s资源未导入：%s,%s资源未导入：%s,%sリソースが未取り込みです：%s
%s（空）,%s（空）,%s（空）
CG鉴赏,CG鉴赏,CG鑑賞
Esc、鼠标右键或点击窗口外关闭,Esc、鼠标右键或点击窗口外关闭,Esc、右クリックまたはウィンドウの外側をクリックで閉じる
[跳转到这里],[跳转到这里],［ここへジャンプ］
“%s”尚未解锁。,“%s”尚未解锁。,「%s」は未解放です。
■选项■,■选项■,■選択肢■
ヨスガノソラ,ヨスガノソラ,ヨスガノソラ
"ヨスガノソラ
YOSUGA NO SORA","ヨスガノソラ
YOSUGA NO SORA","ヨスガノソラ
YOSUGA NO SORA"
一叶,一叶,一葉
上一差分,上一差分,前の差分
上一选项,上一选项,前の選択肢
上一页,上一页,前のページ
下一句时终止播放上句语音,下一句时终止播放上句语音,次の文でボイス停止
下一差分,下一差分,次の差分
下一选项,下一选项,次の選択肢
下一页,下一页,次のページ
中文,中文,中文
中里 亮平,中里 亮平,中里 亮平
主音量,主音量,マスター音量
乃木坂 初佳,乃木坂 初佳,乃木坂 初佳
仓永 梢,仓永 梢,倉永 梢
伊福部 八寻,伊福部 八寻,伊福部 八尋
依媛 奈绪,依媛 奈绪,依媛 奈緒
保存失败：%s,保存失败：%s,保存に失敗しました：%s
保存存档,保存存档,保存
修改锁定状态失败：%s,修改锁定状态失败：%s,ロック状態の変更に失敗しました：%s
允许跳过未读文本,允许跳过未读文本,未読もスキップ
全屏,全屏,フルスクリーン
关闭,关闭,閉じる
其他,其他,その他
其他角色,其他角色,その他
初佳,初佳,初佳
初始化已读文本,初始化已读文本,既読初期化
初始化设定,初始化设定,設定初期化
初始化设置,初始化设置,設定初期化
删除,删除,削除
删除存档,删除存档,削除
剧本播放结束,剧本播放结束,シナリオの再生を終了しました
功能,功能,機能
动画效果,动画效果,アニメ演出
取消,取消,キャンセル
取消复制,取消复制,コピー取消
取消移动,取消移动,移動取消
后续没有可跳转的选项,后续没有可跳转的选项,後続にジャンプ可能な選択肢がありません
否,否,いいえ
回到标题,回到标题,タイトルに戻る
回忆,回忆,思い出
回想,回想,回想
场景鉴赏,场景鉴赏,シーン鑑賞
复制,复制,コピー
复制存档,复制存档,コピー
天女目 瑛,天女目 瑛,天女目 瑛
头像显示,立绘显示,立ち絵表示
奈绪,奈绪,奈緒
字体选择,字体选择,フォント
存档,存档,保存
存档位置,存档位置,セーブ先
存档已%s。,存档已%s。,セーブデータを%sしました。
存档已保存。,存档已保存。,セーブしました。
存档已删除。,存档已删除。,セーブデータを削除しました。
存档文本,存档文本,セーブテキスト
存档文本保存失败：%s,存档文本保存失败：%s,セーブテキストの保存に失敗しました：%s
存档文本已保存。,存档文本已保存。,セーブテキストを保存しました。
存档日期,存档日期,セーブ日時
寒蝉圆黑体,寒蝉圆黑体,寒蝉圆黑体
对话框透明度,对话框透明度,メッセージウィンドウの透明度
已取消。,已取消。,取り消しました。
已取消复制或移动。,已取消复制或移动。,コピー／移動を取り消しました。
已取消操作。,已取消操作。,操作を取り消しました。
已快速存档,已快速存档,クイックセーブしました
已恢复初始设定。,已恢复初始设定。,初期設定に戻しました。
已收集：%d / %d,已收集：%d / %d,収集数：%d / %d
